Var1,weights
CCDC88B,0.398952215909958
RNF138,0.397753775119781
MAML3,0.396875262260437
PROX1,0.395166784524918
TBX1,0.39499220252037
THOC2,0.393573611974716
TPR,0.39099308848381
LOC100129917,0.389520227909088
CRTC2,0.387576282024384
OR7E24,0.386289864778519
MEIKIN,0.386098593473434
MUC20,0.38586151599884
KLF2,0.385524570941925
LYG1,0.384688973426819
POU3F4,0.383647739887238
SMAD5,0.383512586355209
CFHR3,0.382448494434357
COL11A2,0.379781752824783
EBLN2,0.378267556428909
UTP23,0.377534657716751
TBL1Y,0.371829599142075
KRI1,0.368897885084152
PTMA,0.366698980331421
TSEN54,0.366295456886292
TAP2,0.36345174908638
ANTXR2,0.363319545984268
IFI27,0.361153811216354
ROR1,0.360987633466721
PCDHGA7,0.358625680208206
ABCG2,0.357560187578201
PKN2,0.357357621192932
CHMP2B,0.356353461742401
GATAD1,0.355786144733429
KIZ,0.35411536693573
FMOD,0.352120101451874
PLAG1,0.351925581693649
MUTYH,0.351230353116989
SAFB2,0.343410611152649
INPP5B,0.342403084039688
ZNF561,0.34019473195076
ZDHHC11,0.339725852012634
BNIP3L,0.337070226669312
RRAD,0.332409739494324
DDX39A,0.330065965652466
CCDC122,0.327490031719208
FPGT,0.322977870702744
VEGFC,0.319717615842819
USP15,0.314919173717499
ITGB1BP2,0.313276141881943
TOP3B,0.308924227952957
STARD8,0.305208921432495
ZNF592,0.30256399512291
TNFAIP8,0.299468189477921
MCM5,0.29643315076828
IFT172,0.294006288051605
SFR1,0.293505817651749
HPS5,0.292303621768951
PMFBP1,0.290206909179688
MTA2,0.289506167173386
RPL13P5,0.287323385477066
WWC3,0.286064803600311
COQ2,0.277629822492599
SPDYE1,0.272257566452026
VWF,0.266968220472336
CYB561D1,0.266336530447006
SPPL2B,0.262567311525345
SNAI1,0.262507081031799
SHROOM1,0.25717705488205
LOC102723753,0.24922938644886
KLKB1,0.244529277086258
CCDC134,0.243960574269295
DGLUCY,0.238262921571732
UNC13D,0.231041789054871
LRRC70,0.21844607591629
LRCH3,0.21219265460968
ZNF546,0.202769100666046
MST1,0.19378899037838
SRPK3,0.178012758493423
FLNC,0.172664746642113
CHKA,0.163273692131042
HLA-DPB1,0.128153681755066
