Var1,weights
PRKCG,0.721730172634125
ATP6V1C1,0.721359550952911
LOC440934,0.721220314502716
PTS,0.721109926700592
GPR150,0.71944922208786
RSPO3,0.719380795955658
DNAJC2,0.71925562620163
LOC105372480,0.71799224615097
TPST1,0.717863202095032
NDUFC2,0.717600166797638
DNAJA1,0.716498374938965
OGG1,0.716215550899506
C2orf69,0.715822756290436
CYB561,0.71510773897171
ARMCX2,0.7144655585289
OPTN,0.714406967163086
ADCY2,0.71390962600708
ACTR1A,0.713538765907288
CFAP52,0.713341951370239
LARGE1,0.712180614471436
ARFGEF3,0.711873829364777
ACTR10,0.711465358734131
RGMB,0.710325241088867
TBCA,0.710167050361633
UROS,0.710129499435425
SHISA5,0.709934711456299
ADTRP,0.709773302078247
FAM187A,0.709545254707336
PUSL1,0.709535956382751
